epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6114,0.74935,12.2901,0.67802,0.78405,0.52831,0.47701,0.25163,0.45281,0.90126,0.50895,0.00046641,0.00046641,0.00046641
2,23.8145,0.47249,0.77407,0.42751,nan,0.85858,0.54162,0.26209,nan,nan,nan,0.00093341,0.00093341,0.00093341
3,35.4479,0.46575,0.74146,0.41489,0.87545,0.49765,0.60125,0.31899,0.47936,0.79393,0.56571,0.00139098,0.00139098,0.00139098
4,47.3699,0.46656,0.70721,0.42214,0.70303,0.69457,0.70183,0.39219,0.47684,0.67564,0.57226,0.00138656,0.00138656,0.00138656
5,59.2983,0.44704,0.69837,0.39536,0.73402,0.71388,0.73933,0.41341,0.44834,0.63641,0.51957,0.00137241,0.00137241,0.00137241
6,71.2726,0.44029,0.68309,0.38894,0.70841,0.64171,0.67313,0.33519,0.50746,0.7085,0.65782,0.00135826,0.00135826,0.00135826
7,82.8656,0.44409,0.69695,0.39211,0.7442,0.65999,0.71611,0.38586,0.48012,0.70338,0.60479,0.00134412,0.00134412,0.00134412
8,94.4208,0.4461,0.66684,0.38801,0.69302,0.71184,0.72478,0.40479,0.47033,0.6337,0.54722,0.00132997,0.00132997,0.00132997
9,106.107,0.42797,0.65208,0.37895,0.81504,0.73517,0.77917,0.43444,0.47075,0.60013,0.56054,0.00131582,0.00131582,0.00131582
10,118.075,0.42655,0.66968,0.38207,0.79636,0.73673,0.743,0.42773,0.47085,0.61121,0.56226,0.00130168,0.00130168,0.00130168
11,129.919,0.4284,0.65982,0.37721,0.78784,0.7402,0.75283,0.4201,0.45769,0.637,0.5317,0.00128753,0.00128753,0.00128753
12,141.727,0.43024,0.65014,0.37766,0.76703,0.78352,0.78023,0.46052,0.43911,0.57656,0.50817,0.00127338,0.00127338,0.00127338
13,153.649,0.41716,0.63139,0.37625,0.82268,0.77398,0.79956,0.46139,0.44998,0.58636,0.52835,0.00125923,0.00125923,0.00125923
14,165.522,0.41382,0.65096,0.36125,0.77282,0.77714,0.77906,0.45769,0.44259,0.553,0.51233,0.00124509,0.00124509,0.00124509
15,177.203,0.40909,0.6457,0.35858,0.78377,0.76115,0.77051,0.43379,0.44274,0.60325,0.5448,0.00123094,0.00123094,0.00123094
16,188.936,0.39995,0.62868,0.35494,0.84202,0.77086,0.82212,0.48118,0.43297,0.58347,0.50131,0.00121679,0.00121679,0.00121679
17,200.944,0.40285,0.61365,0.35366,0.78952,0.74822,0.77464,0.44309,0.44738,0.59959,0.52798,0.00120265,0.00120265,0.00120265
18,212.622,0.41153,0.626,0.36183,0.83463,0.78894,0.82185,0.47701,0.44386,0.58535,0.51948,0.0011885,0.0011885,0.0011885
19,224.426,0.40627,0.6145,0.35716,0.72674,0.75149,0.75918,0.43296,0.45101,0.6006,0.51223,0.00117435,0.00117435,0.00117435
20,236.032,0.4037,0.62096,0.35226,0.76365,0.79385,0.78491,0.43483,0.45786,0.57296,0.54993,0.00116021,0.00116021,0.00116021
21,247.679,0.40592,0.62893,0.35263,0.80579,0.81992,0.83133,0.49535,0.42493,0.55763,0.48907,0.00114606,0.00114606,0.00114606
22,259.681,0.39541,0.61001,0.34668,0.8493,0.80759,0.83901,0.4913,0.43641,0.5323,0.51553,0.00113191,0.00113191,0.00113191
23,271.388,0.39154,0.60788,0.33818,0.81235,0.79589,0.82381,0.48155,0.43458,0.53298,0.50827,0.00111776,0.00111776,0.00111776
24,282.992,0.3915,0.60469,0.35352,0.82602,0.80919,0.83072,0.49075,0.42433,0.54314,0.49283,0.00110362,0.00110362,0.00110362
25,294.662,0.39141,0.59415,0.34561,0.8234,0.80779,0.81005,0.48105,0.42592,0.54889,0.48483,0.00108947,0.00108947,0.00108947
26,306.378,0.39126,0.59462,0.34801,0.85591,0.79249,0.82136,0.49675,0.4286,0.52895,0.48641,0.00107532,0.00107532,0.00107532
27,318.395,0.38888,0.58953,0.34448,0.84655,0.7804,0.8188,0.47309,0.43657,0.55842,0.50726,0.00106118,0.00106118,0.00106118
28,330.109,0.3846,0.61246,0.34165,0.76301,0.77259,0.79877,0.46531,0.43633,0.60372,0.50712,0.00104703,0.00104703,0.00104703
29,341.831,0.39104,0.58864,0.34464,0.78492,0.81974,0.81397,0.46953,0.43585,0.5784,0.50325,0.00103288,0.00103288,0.00103288
30,353.57,0.379,0.58451,0.33229,0.85905,0.77447,0.82237,0.47284,0.43484,0.55906,0.52474,0.00101873,0.00101873,0.00101873
31,365.24,0.3842,0.5819,0.33818,0.75182,0.81774,0.79977,0.46484,0.44114,0.55463,0.5022,0.00100459,0.00100459,0.00100459
32,376.922,0.39223,0.58525,0.33373,0.87409,0.81167,0.83117,0.49515,0.42947,0.52566,0.48356,0.00099044,0.00099044,0.00099044
33,388.643,0.38052,0.57308,0.33108,0.84095,0.83694,0.83965,0.5052,0.42685,0.52834,0.48974,0.000976293,0.000976293,0.000976293
34,400.567,0.37881,0.56595,0.3304,0.79647,0.79105,0.80909,0.47539,0.44618,0.56316,0.50837,0.000962146,0.000962146,0.000962146
35,412.164,0.37021,0.57954,0.32136,0.81421,0.8194,0.83034,0.48629,0.44225,0.56243,0.51904,0.000947999,0.000947999,0.000947999
36,423.87,0.37678,0.57572,0.32141,0.84156,0.83939,0.8459,0.50661,0.42303,0.52813,0.48806,0.000933851,0.000933851,0.000933851
37,435.875,0.37418,0.5811,0.3298,0.82811,0.81092,0.82938,0.49288,0.42358,0.55025,0.48755,0.000919704,0.000919704,0.000919704
38,447.563,0.36776,0.57181,0.32499,0.86167,0.77197,0.82102,0.48645,0.43837,0.53579,0.50293,0.000905557,0.000905557,0.000905557
39,459.262,0.37572,0.56739,0.32675,0.8519,0.82897,0.83997,0.50044,0.4244,0.54884,0.48636,0.00089141,0.00089141,0.00089141
