epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.14322,1.67606,2.38722,1.48485,0.93404,0.28478,0.51065,0.26875,1.60344,2.20031,1.39577,0.00046641,0.00046641,0.00046641
2,6.20704,1.5212,1.36393,1.37107,0.45227,0.69354,0.60692,0.31478,1.5638,1.73941,1.44405,0.00093341,0.00093341,0.00093341
3,9.26112,1.4599,1.24902,1.34079,0.53069,0.70406,0.62961,0.32908,1.60589,1.47735,1.4994,0.00139098,0.00139098,0.00139098
4,12.2312,1.46985,1.22642,1.34616,0.60675,0.65114,0.64652,0.33193,1.61249,1.29671,1.45642,0.00138656,0.00138656,0.00138656
5,15.4369,1.41553,1.16069,1.30783,0.60536,0.64943,0.66138,0.34859,1.63273,1.17274,1.46438,0.00137241,0.00137241,0.00137241
6,93.3767,1.42592,1.1522,1.32182,0.68495,0.72275,0.7254,0.36684,1.56645,1.18905,1.42595,0.00135826,0.00135826,0.00135826
7,96.3994,1.39152,1.09504,1.29943,0.70316,0.72588,0.74965,0.40024,1.45412,1.0635,1.36625,0.00134412,0.00134412,0.00134412
8,99.281,1.37961,1.06632,1.2822,0.62734,0.51854,0.55764,0.26733,1.87953,1.43549,1.66178,0.00132997,0.00132997,0.00132997
9,102.113,1.3617,1.05256,1.27889,0.7548,0.75347,0.76542,0.41705,1.46673,1.00652,1.34994,0.00131582,0.00131582,0.00131582
10,104.938,1.36827,1.04386,1.28775,0.69265,0.77216,0.77963,0.4264,1.47845,0.9405,1.37479,0.00130168,0.00130168,0.00130168
11,108.126,1.36527,1.02954,1.28069,0.76713,0.75587,0.78353,0.43354,1.44608,0.92555,1.33317,0.00128753,0.00128753,0.00128753
12,111.733,1.33887,0.99998,1.26549,0.75106,0.76428,0.78425,0.42946,1.47797,0.91627,1.33369,0.00127338,0.00127338,0.00127338
13,114.968,1.34826,0.99714,1.26936,0.75805,0.79515,0.81117,0.45799,1.44983,0.91826,1.3264,0.00125923,0.00125923,0.00125923
14,117.85,1.33643,0.98034,1.26496,0.81511,0.76285,0.82153,0.45937,1.44109,0.86986,1.32144,0.00124509,0.00124509,0.00124509
15,120.714,1.32114,0.97085,1.25875,0.76925,0.71017,0.76271,0.4151,1.49783,0.94964,1.37055,0.00123094,0.00123094,0.00123094
